CURRENTDAY	Irradiation	Tmin	Tmax	VapourPressure	WindSpeed	Precipitation
02.01.2000	7.869888782501221	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869951248168945	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869465351104736	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8684587478637695	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.865775108337402	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869887828826904	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869775295257568	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8690290451049805	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.868866920471191	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.86846923828125	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869892120361328	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869421482086182	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869041919708252	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869477272033691	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869985103607178	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869775295257568	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699517250061035	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699870109558105	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8698930740356445	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869888782501221	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869951248168945	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869465351104736	-2.939	14.9	6.7182817	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699870109558105	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8698930740356445	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869888782501221	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869951248168945	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869465351104736	-2.939	14.9	6.7182817	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699870109558105	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8698930740356445	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869888782501221	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869951248168945	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869465351104736	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8684587478637695	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.865775108337402	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869887828826904	-2.939	14.9	6.7182817	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699870109558105	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8698930740356445	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869888782501221	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869951248168945	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869465351104736	-2.939	14.9	6.7182817	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699870109558105	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8698930740356445	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869888782501221	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869951248168945	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869465351104736	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8684587478637695	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.865775108337402	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869887828826904	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869775295257568	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8690290451049805	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.868866920471191	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.86846923828125	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869892120361328	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869421482086182	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869041919708252	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869477272033691	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869985103607178	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869775295257568	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699517250061035	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.7499783039093018	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.7498109340667725	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.7497763633728027	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
03.01.2000	2.749842405319214	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699870109558105	-2.939	14.9	6.7182817	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699870109558105	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8698930740356445	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869888782501221	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869951248168945	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869465351104736	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8684587478637695	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.865775108337402	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869887828826904	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869775295257568	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8690290451049805	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.868866920471191	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.86846923828125	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869892120361328	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869421482086182	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869041919708252	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869477272033691	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869985103607178	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869775295257568	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.8699517250061035	-2.939	14.9	6.7182817	1.0421159	0.0
02.01.2000	7.869999885559082	-2.939	14.9	6.7182817	1.0421159	0.0
03.01.2000	2.75	-0.214	9.18	6.978167	1.0421159	0.20000000298023224
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209928035736084	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209924697875977	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2095627784729	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208700180053711	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20652961730957	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.20992374420166	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209168434143066	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208796977996826	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.208708763122559	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209927082061768	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209527015686035	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209179878234863	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209572792053223	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.210000038146973	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.209831237792969	-3.422	12.79	6.480134	1.0421159	0.0
01.01.2000	7.2099761962890625	-3.422	12.79	6.480134	1.0421159	0.0
